example,meshes,solved,iters,obj,rc
alpine,1,0,,,137
bioreactor,1,0,,,137
brac1,1,1,5,8.247591e-01,0
breakwell,1,0,,,137
bryson_denham,1,1,7,3.999539e+00,0
bryson_max_range,1,1,9,-1.712327e+00,0
catmix,1,1,19,-4.805316e-02,0
chain,2,2,22,5.068480e+00,0
chance_constraint,1,0,,,137
chance_covariance,1,1,8,2.122455e+00,0
climb,4,4,18,3.211088e+02,0
conic_sdp,1,1,2,6.476960e-01,0
conic_soc,1,1,5,9.997182e-01,0
control_rate,1,1,4,1.846315e+00,0
coulomb,1,1,57,2.104798e+00,0
cracking,1,1,29,5.228971e-03,0
crane,1,0,,,137
dae_i3,1,1,3,2.477868e-18,0
delay1,3,3,6,2.525738e+00,0
delay_history,CONTAMINATED,,,,
dqc,1,1,9,6.000000e+00,0
f8,3,2,459,,137
fuller,CONTAMINATED,,,,
geodesic,4,4,6,5.549676e+03,0
glider,5,5,364,-1.250190e+03,0
goddard,2,2,165,-1.025336e+00,0
heat,3,3,5,4.372837e-05,0
hypersensitive,2,2,6,1.330826e+00,0
int_static_linear,CONTAMINATED,,,,
interior_point,1,1,3,9.205314e-01,0
isoperimetric,1,1,6,-3.755058e-01,0
lambert,1,1,0,0.000000e+00,0
launch,1,0,,,137
lotka,4,3,121,1.344236e+00,137
lotka2,3,2,283,1.089094e+00,137
low_thrust,CONTAMINATED,,,,
lqr_gauss,1,1,2,5.104614e-01,0
lqr_radau,1,1,2,5.104614e-01,0
lts,2,2,30,5.545709e-01,0
manutec,5,5,12,2.040610e+01,0
mineng_di,1,1,2,6.000000e+00,0
mineng_free_vf,1,0,,,137
mineng_target_set,1,0,,,137
missile,2,2,10,4.091754e+01,0
mixed_ic,2,2,8,1.250811e+00,0
moon,1,1,17,1.420391e+00,0
mpec,7,7,12,1.654223e+00,0
notorious,1,1,7,8.806619e-01,0
obstacle,2,2,0,4.571044e+00,0
param2,1,1,34,4.049845e+02,0
path_window,1,1,5,1.297886e+01,0
predator,5,5,86,2.753366e-02,0
rayleigh,1,1,7,4.477625e+01,0
reorientation,3,2,243,,137
shuttle_reentry,3,3,113,-3.414120e+01,0
singular5,1,0,,,137
singular_di,1,1,2,3.333328e+00,0
stc1,2,2,5,1.698180e-01,0
steps,1,1,4,1.000000e+00,0
twoburn,4,2,22,,137
twolinkarm,1,0,210,,0
twophase_robot,1,1,4,1.042533e+00,0
twophase_schwartz,1,1,4,1.291181e-17,0
user,1,1,9,-1.712327e+00,0
wheat,7,7,273,-1.742574e+00,0
x1,MISSING,,,,
zpm,1,0,,,137
DONE
